category,image_id,mask_variation,gen_variation_id,nima_mean,nima_std,giqa_score,itm,cos
toaster,173008,bbox,0,4.637074947357178,1.417627215385437,-334.659375292719,0.048309326171875,0.3291015625
toaster,173008,bbox,1,4.560308933258057,1.5676944255828855,-236.04932935200796,0.09466552734375,0.331787109375
toaster,173008,bbox,2,4.540489673614502,1.5467344522476196,-466.7459126463018,0.44384765625,0.373291015625
toaster,173008,segm,0,4.688917636871338,1.413997769355774,-335.86049588617016,0.07415771484375,0.299072265625
toaster,173008,segm,1,4.77152681350708,1.5944098234176636,-318.8526871830177,0.61181640625,0.387451171875
toaster,173008,segm,2,4.612626552581787,1.5285195112228394,-493.0174290829184,0.2008056640625,0.305419921875
toothbrush,324614,bbox,0,4.8006672859191895,1.5041168928146362,-508.172644156904,0.30517578125,0.408935546875
toothbrush,324614,bbox,1,4.674497604370117,1.4774479866027832,-491.7203855165151,0.11114501953125,0.396240234375
toothbrush,324614,bbox,2,4.532444953918457,1.4954264163970947,-494.4707806462652,0.129150390625,0.394287109375
toothbrush,324614,segm,0,4.829511642456055,1.5452128648757937,-343.5511255048182,0.176025390625,0.39111328125
toothbrush,324614,segm,1,4.916541576385498,1.515705704689026,-321.1493998280744,0.138916015625,0.382080078125
toothbrush,324614,segm,2,4.886173248291016,1.5364311933517456,-453.4060378285644,0.1751708984375,0.393798828125
toothbrush,544519,bbox,0,4.728811740875244,1.3714722394943235,-492.6419763060467,0.728515625,0.411376953125
toothbrush,544519,bbox,1,4.601115703582764,1.311731457710266,-390.079212296285,0.74853515625,0.417236328125
toothbrush,544519,bbox,2,4.924308300018311,1.425851821899414,-465.6240695904203,0.697265625,0.432861328125
toothbrush,544519,segm,0,4.783212661743164,1.40156888961792,-574.2975076551452,0.73046875,0.396240234375
toothbrush,544519,segm,1,4.64166259765625,1.351597785949707,-471.30536529286337,0.79296875,0.423095703125
toothbrush,544519,segm,2,4.717854976654053,1.4038763046264648,-593.0054623314584,0.56884765625,0.38623046875
toothbrush,482319,bbox,0,4.507689952850342,1.5337377786636353,-406.4667113191026,0.0943603515625,0.2139892578125
toothbrush,482319,bbox,1,4.352267265319824,1.481698989868164,-307.9409265884203,0.049591064453125,0.270751953125
toothbrush,482319,bbox,2,4.414072036743164,1.4974926710128784,-370.6706672236997,0.468017578125,0.434326171875
toothbrush,482319,segm,0,3.958095550537109,1.371534824371338,-382.4846939760612,0.469482421875,0.3994140625
toothbrush,482319,segm,1,4.033855438232422,1.4286460876464844,-431.3300691986583,0.55615234375,0.39599609375
toothbrush,482319,segm,2,4.15289831161499,1.4109420776367188,-514.7277513765575,0.5087890625,0.36669921875
